Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,6.41,8.96,2.04,1.66,1.4,0.16,0.02,0.02,0.21,2.38,0.85,0.9,25.01
2001,3.76,7.73,1.58,1.89,0,0.15,0.01,0.05,0.18,0.51,5.18,10.75,31.79
2002,2.13,2.59,2.27,0.52,0.84,0.03,0,0.03,0.01,0.01,2,12.03,22.46
2003,1.75,1.8,1.71,3.6,0.93,0,0,0.06,0,0.04,2.22,7.69,19.8
2004,3.4,5.67,1.16,0.12,0.12,0,0,0.05,0.04,2.62,2.07,7.98,23.23
2005,4.82,5.19,4.67,2.19,1.32,0.94,0.02,0.01,0,0.51,2.21,11.19,33.07
2006,3.52,2.81,8.74,5.02,0.41,0,0,0,0,0.63,3.05,5.31,29.49
2007,0.72,4.79,0.52,1.44,0.43,0,0.02,0,0.09,2.01,0.96,3.16,14.14
2008,8.86,1.87,0.33,0.14,0.03,0,0,0.01,0,0.35,2.31,2.82,16.72
2009,0.9,7.92,2.76,0.24,0.8,0,0,0,0.28,3.11,0.45,2.77,19.23
2010,6.66,3.42,2.79,3.59,0.95,0.07,0,0.01,0.02,1.81,3.1,6.71,29.13
2011,1.55,4.94,7.02,0.56,1.13,2.02,0.08,0.03,0,1.38,1.74,0.14,20.59
2012,2.68,1.09,5.71,2.74,0.02,0.14,0.01,0.01,0,1.47,4.5,7.11,25.48
2013,0.49,0.85,0.97,1.01,0.04,0.15,0,0.04,0.39,0,1.26,0.39,5.59
2014,0.06,5.82,2.95,1.59,0.03,0.01,0.08,0.01,0.55,0.46,2.29,11.7,25.55
2015,0,M,M,M,M,M,M,M,M,M,M,M,M
